SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,6854.7,7085.9,6847.1,7029.95,7029.95,6887.6,3731,18172,127370946,
500003,"AEGIS LOGISTICS LTD.",A,STK,660.9,767.1,660.9,708.85,708.85,660.05,22163,563018,402085728,
500008,"Amara Raja Energy & Mobility L",A,STK,779.3,788.15,774,778.45,781,772.65,1820,34454,26893880,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,28.88,32.75,28.75,32.32,32.32,28.88,973,263879,8268320,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,42.75,42.75,41.27,41.78,41.9,41.96,267,57209,2394171,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.48,3.48,3.44,3.48,3.48,3.42,18,3038,10571,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.32,4.32,3.82,4.17,4.2,4.24,47,11796,49485,
500016,"ARUNA HOTELS LTD.",X,STK,8.2,8.2,7.93,8.1,8.05,8.08,23,5086,41018,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,113.81,115.31,112.57,113.15,113.47,114.21,1251,74707,8515422,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,298.45,301.65,292.6,294.05,293.15,298.45,53,230,68086,
500027,"ATUL LTD.",A,STK,6649.85,6649.85,6560,6592.15,6592.15,6596.55,203,649,4274850,
500028,"ATV PROJECTS INDIA LTD.",X,STK,34.7,35.9,34.1,35.23,35.23,35.67,178,28606,1010531,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,389,394,386.9,391.55,391.4,387.85,710,16846,6568754,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,19.07,19.27,18.65,18.8,18.8,18.88,1794,662304,12585722,
500033,"FORCE MOTORS LTD.",A,STK,22558.85,22856.45,22325,22382.8,22382.8,22542.3,2753,9004,202918478,
500034,"BAJAJ FINANCE LIMITED",A,STK,900.05,910.6,896.1,908.7,908.7,906.3,7668,238827,216343790,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,487.55,487.55,481.75,486,486,483.2,574,16952,8216704,
